1 --> {1=0.00572233711565794, 2=0.008847440297185784, 3=0.011168516158380793, 4=0.007027453613732049, 5=0.0055622535470871435, 6=0.004525608172153268, 7=0.005576614892629968, 8=0.002137428691571208, 9=0.007288670309439902, 10=0.011509224516420375, 11=0.008650472785995619, 12=0.0036370010469427105, 13=0.003912549412360842}
31 --> {1=0.004830789628082833, 2=0.015282063998449622, 3=0.011572883925782403, 4=0.015259574273762143, 5=0.01576598627117842, 6=0.00774468929677772, 7=0.013280288364274829, 8=0.002040831677569608, 9=0.015648750417640044, 10=0.034649907527938936, 11=0.006669957783072406, 12=0.003834188828240604, 13=0.005346331242483124}
32 --> {1=7.432875818495764E-4, 2=0.002563960994378868, 3=0.0028815838160470854, 4=0.007087932122829156, 5=0.004932696495852584, 6=0.0017982055398511531, 7=0.00459896985967984, 8=0.006571438818463782, 9=0.0051048991473856345, 10=0.013432429739745438, 11=0.004936176307413617, 12=0.0, 13=0.005858411236972013}
33 --> {1=0.0, 2=0.0, 3=0.0, 4=0.0, 5=0.0, 6=0.0, 7=0.0, 8=0.0, 9=0.0, 10=0.0, 11=0.0, 12=0.0, 13=0.0}
34 --> {1=0.006721886140440265, 2=0.007352742082055217, 3=0.005115175015202624, 4=0.0033582277213955072, 5=0.0010991214959633028, 6=0.0028062482777411885, 7=0.004426652148345342, 8=0.003805921420699618, 9=0.005856624945348504, 10=0.00403763951519055, 11=0.0025962896736099477, 12=0.0031764671199747767, 13=0.0010416333353742081}
35 --> {1=0.0015450493255075508, 2=0.0037502676532328665, 3=0.00385788617995419, 4=0.002300008211149517, 5=0.0039004138555076987, 6=0.0020279307422565065, 7=0.004069361735548123, 8=0.002949738483219576, 9=0.003106731873156832, 10=0.008787547308840465, 11=0.004383912569095364, 12=1.7510550359065954E-4, 13=0.006718081939052707}
36 --> {1=0.010353114448969967, 2=0.014080934722727012, 3=0.009937814307446571, 4=0.010274203684568458, 5=0.010092114216403276, 6=0.006515397696404766, 7=0.010345009822492684, 8=0.0024379319628405755, 9=0.013603909259442349, 10=0.021732257474565028, 11=0.0077163860369938555, 12=0.008357928161439411, 13=0.0015018998236788162}
37 --> {1=0.0023026150899183003, 2=0.0031140564969740375, 3=0.002038597310323158, 4=0.002631462381145566, 5=0.002673679149050894, 6=0.0013705919242516752, 7=0.0037757519804950098, 8=0.003473063714294497, 9=0.005023119293674974, 10=0.005933369270170427, 11=0.0023481904037165493, 12=2.9506967447461225E-4, 13=0.0030229085716006556}
38 --> {1=0.0, 2=0.0021603481503185877, 3=0.0034079721198431415, 4=0.016284492537916088, 5=0.0027448468965989444, 6=0.01977740472652912, 7=0.004749602238673477, 8=0.0, 9=0.021806359660669464, 10=0.011396114839380031, 11=0.0037383507273601488, 12=8.200363509196764E-4, 13=0.0}
39 --> {1=0.0035334273942483787, 2=0.0042770887507697615, 3=0.0037024045299949558, 4=0.003043052263051045, 5=0.004748272461979581, 6=0.0023278124332669916, 7=0.0046675450348761145, 8=7.125572879855471E-4, 9=0.010843430058748417, 10=0.014879648691264563, 11=0.002618928256405977, 12=0.0027321777612597698, 13=0.002726230393885467}
40 --> {1=0.005299379000480067, 2=0.007886617817564494, 3=0.006738363743412285, 4=0.003623114103989096, 5=0.0038834254477516854, 6=0.0016929141658827832, 7=0.003520501953210076, 8=0.006132354178558021, 9=0.007579013083215813, 10=0.01053442517749658, 11=0.003531561058495958, 12=0.004817842571321695, 13=0.0011938180452269961}
41 --> {1=0.009892046979180691, 2=0.007420110811829271, 3=0.017723630320332584, 4=0.0, 5=0.0, 6=0.0, 7=0.00451286737860154, 8=0.0, 9=0.0, 10=0.0, 11=0.0, 12=0.0, 13=0.0}
42 --> {1=0.0, 2=0.008128088886516581, 3=0.006821381898221292, 4=0.11294539340993388, 5=0.22521727784852721, 6=0.031621592987503284, 7=0.00928271077780165, 8=0.0, 9=0.053142042932233055, 10=0.05981375747255947, 11=0.016782295728531713, 12=0.0, 13=0.0}
43 --> {1=0.003470175977492594, 2=0.006289184670781037, 3=0.0051243235044079564, 4=0.01293861809817321, 5=0.013080301948115857, 6=0.009077069251382172, 7=0.011367838687828717, 8=0.0035991421840095264, 9=0.011359684967427537, 10=0.02750511340435939, 11=0.00371339442957312, 12=0.0021515422612997204, 13=0.006520166845137068}
44 --> {1=0.006412438665380422, 2=0.009436056765731528, 3=0.008213737259252153, 4=0.005979868090134892, 5=0.003935238357364114, 6=0.004052323531016935, 7=0.008462551048450598, 8=0.0011019375192298803, 9=0.008221167555172985, 10=0.01300947576397525, 11=0.003114473010567899, 12=0.001307923527906312, 13=0.003539458179832001}
45 --> {1=0.011148829335803261, 2=0.01309137499599336, 3=0.00990321699005787, 4=0.004329525981816536, 5=0.0027434197819599803, 6=0.0025898824892404285, 7=0.006162172582646769, 8=0.0032572703149201894, 9=0.009182826156707105, 10=0.00857763910809949, 11=0.005378247084256958, 12=0.005494196748785238, 13=0.005079928714738484}
46 --> {1=0.001043304570456395, 2=0.005068986481534008, 3=0.004254074126185306, 4=0.008102937790528354, 5=0.01546341987712108, 6=0.003316218656365775, 7=0.012472876859137443, 8=0.0, 9=0.01223142903224331, 10=0.03440347243410496, 11=0.00477693800412646, 12=0.0, 13=0.005982983957907213}
47 --> {1=0.0159819614469054, 2=0.02714602253704947, 3=0.017417188987569224, 4=0.005152011396220668, 5=0.004012817870226976, 6=0.0027379456825294963, 7=0.024692902078562493, 8=0.0046142597204426325, 9=0.009828815919086988, 10=0.027437379883563814, 11=0.00977245744422007, 12=0.01332909834280545, 13=0.001547095521817172}
48 --> {1=0.012504267989831487, 2=0.01819437663811619, 3=0.01563209491096154, 4=0.01105667599275425, 5=0.014728689715949534, 6=0.0040788969899083795, 7=0.015884804106668725, 8=0.0014428569497868821, 9=0.015089981241840252, 10=0.036830949572527145, 11=0.005649698697697596, 12=0.004872695052963738, 13=0.007302156077667289}
49 --> {1=0.007344978058157019, 2=0.010291748068722621, 3=0.009149595694780488, 4=0.00880681251033377, 5=0.012212696024469913, 6=0.005624080210239667, 7=0.010292204100528807, 8=0.0016500737237845767, 9=0.016134875183353267, 10=0.02198908328523519, 11=0.005029118875319571, 12=0.0, 13=0.01095009627420297}
50 --> {1=0.007967630512019886, 2=0.008311590872638372, 3=0.011206945001678239, 4=0.010910410692291907, 5=0.0018261065177007645, 6=0.005304960506421454, 7=0.007645574933210247, 8=0.0031899774984258263, 9=0.008317149961236244, 10=0.005737658223106686, 11=0.00547580672578464, 12=0.005297533656878998, 13=1.1541336655654113E-4}
51 --> {1=0.0, 2=0.0017064975382507846, 3=2.727539833405816E-4, 4=0.002043875110550556, 5=0.0037145106828045753, 6=8.647693971097703E-4, 7=0.0035066877668301646, 8=5.874983310753938E-4, 9=0.012165067282706696, 10=0.006154365879453205, 11=0.0, 12=0.0, 13=1.3724832779696784E-4}
52 --> {1=0.022507843409933736, 2=0.013390164626203896, 3=0.005344203998898681, 4=0.012723871304468908, 5=0.01630648197412176, 6=0.004592598988253611, 7=0.012053515863673881, 8=7.245812749929856E-4, 9=0.012670814991061615, 10=0.03432482227970989, 11=0.004523001144176835, 12=3.280145403678706E-4, 13=0.00824637135106992}
53 --> {1=0.0067714287228356415, 2=0.011888273583743473, 3=0.011092060140674823, 4=0.005633294377198801, 5=0.007403367164632625, 6=0.00422734613662929, 7=0.007591537793786459, 8=0.002394285572614925, 9=0.015175182165930648, 10=0.02638155377986328, 11=0.008788455074720373, 12=0.0062014179081011055, 13=0.008950350500929464}
54 --> {1=0.0028883252578779223, 2=0.006558124614219366, 3=0.00407118481636195, 4=0.0064015433431284215, 5=0.0018707049148406444, 6=0.0037864339315315525, 7=0.053479011577691304, 8=0.0064515624000577206, 9=0.013008191087540387, 10=0.04384948188384579, 11=0.007497262134659804, 12=0.0, 13=0.005980980910727321}
55 --> {1=0.009748718482311633, 2=0.016751592249141616, 3=0.002951852508501992, 4=0.010169930631076787, 5=0.014195365739109924, 6=0.005775140107979987, 7=5.460418104589206E-4, 8=0.0, 9=0.009064872989176813, 10=0.005006236680889394, 11=9.871938663842184E-4, 12=0.0022417146939400956, 13=0.0}
56 --> {1=0.003547110769015655, 2=0.01442232892121937, 3=0.003164013028604162, 4=0.008348331407724008, 5=0.016550446452515133, 6=0.005419843152636142, 7=0.017692661248873268, 8=0.0014695096512326142, 9=0.009554813623284707, 10=0.03165947647830818, 11=0.0034058243451814897, 12=0.001229327412805859, 13=0.0031090630963200687}
57 --> {1=0.0030922071398638484, 2=0.009572528461505601, 3=0.003818801578011858, 4=0.00684382225444816, 5=0.003901350707165115, 6=0.0015357971959809313, 7=0.005972017971179254, 8=6.038177291608213E-4, 9=0.008960254348905133, 10=0.012127270165755098, 11=3.6528143401202544E-4, 12=0.0010585874943606008, 13=0.0010690854094411299}
58 --> {1=0.004386133132893408, 2=0.01185009618456157, 3=0.01904565553505384, 4=0.01080672230038887, 5=0.008636226374671168, 6=0.00822023378088908, 7=0.011107575830094708, 8=9.88065374990435E-4, 9=0.007219015886884946, 10=0.015223796273159312, 11=0.0019542019107790065, 12=0.0, 13=0.003375160023044625}
59 --> {1=0.006588417135731975, 2=0.00790120425240716, 3=0.0068846112225727, 4=0.005001424590055763, 5=0.0038491605301542555, 6=0.0028244454338343587, 7=0.0032491360676980057, 8=0.0045031843840048135, 9=0.01941305982516664, 10=0.01736417609296438, 11=0.004390589424076056, 12=0.005615688471605542, 13=0.0011050233500112595}
60 --> {1=0.006462220212988332, 2=0.013266457623123543, 3=0.014364917121734922, 4=0.023580304606204496, 5=0.015783664516701094, 6=0.006399626652924049, 7=0.01199506884344223, 8=0.003101828363290794, 9=0.017702177835120812, 10=0.028125103807996384, 11=0.006935917981622412, 12=8.05674645603159E-4, 13=0.004891582713239458}
61 --> {1=0.0, 2=0.001504089211011582, 3=0.0018991003259396556, 4=0.004986361120554882, 5=0.003198663735126146, 6=0.0015742367744314499, 7=0.004041123948699596, 8=0.0, 9=0.003135068392499068, 10=0.008755920589693723, 11=3.287532906108229E-4, 12=0.0, 13=8.352221652848217E-4}
62 --> {1=0.007967225372918099, 2=0.009843056261052382, 3=0.009794540000712247, 4=0.01802468559220718, 5=0.02187573578668903, 6=0.011624211405066217, 7=0.015068451619011844, 8=0.001502455044883074, 9=0.02372226745622874, 10=0.03499773498827657, 11=0.0028081360925042292, 12=2.733454503065588E-4, 13=0.008486529137547513}
63 --> {1=0.006319793746595449, 2=0.008991005969361457, 3=0.007064795102573256, 4=0.005383969496063488, 5=0.006914391034702194, 6=0.002524242810139613, 7=0.006614412022231264, 8=0.0016052789733552641, 9=0.007215911242614963, 10=0.015932395127103486, 11=5.156914362522712E-4, 12=2.519283392627265E-4, 13=0.009813827621324689}
64 --> {1=0.011643175678947825, 2=0.02049464809632011, 3=0.019852800522620537, 4=0.011415694411291864, 5=0.007666157956428933, 6=0.004281703992298361, 7=0.010130521873490797, 8=0.0016058577743725956, 9=0.014041511952145294, 10=0.017620057370941127, 11=0.013216797510136921, 12=0.008271066243513646, 13=0.00413786453899813}
65 --> {1=0.0, 2=0.003567450905741363, 3=0.005482052770315105, 4=0.009115805014344398, 5=0.01599331867563073, 6=0.003730745988411497, 7=0.012258442082106923, 8=0.023120213112465964, 9=0.028136612781419993, 10=0.054739584926244714, 11=0.0016437664530541145, 12=0.0, 13=0.004176110826424108}
66 --> {1=0.0, 2=0.003162396119453238, 3=0.0, 4=0.0, 5=0.0, 6=0.002318121470782148, 7=0.0, 8=0.0, 9=0.0028401069247299595, 10=0.0, 11=0.0, 12=0.0, 13=0.0}
67 --> {1=0.005377944490530124, 2=0.006024151409305777, 3=0.0036242296452622894, 4=0.009165680853971491, 5=0.011001901674934682, 6=0.004894711905342869, 7=0.008904526329737128, 8=0.0, 9=0.01103689778984527, 10=0.03190928107652155, 11=0.0017938426298217134, 12=0.00202912479669552, 13=0.0028441943221845043}
68 --> {1=0.008123948135233075, 2=0.009636326325431033, 3=0.008217985671109583, 4=0.0021448952974927995, 5=0.0037631338060307605, 6=0.0011067488715227646, 7=0.0035358245442595943, 8=8.560265364599161E-4, 9=0.003838863509120502, 10=0.010359928632169092, 11=0.004777994373259238, 12=0.007034734871738234, 13=9.826143120997902E-4}
69 --> {1=0.0014846681093232022, 2=0.0028524613510163646, 3=0.0032728222396028587, 4=0.006411973481264096, 5=0.00338568137739097, 6=0.003707764718296578, 7=0.005571479137713265, 8=0.0011150855862585329, 9=0.0054727711986349795, 10=0.008310872066557055, 11=0.001512802192368772, 12=4.783708488892836E-4, 13=0.0017135652307583794}
70 --> {1=2.6467368043866585E-4, 2=0.004075012573227305, 3=7.983818540365859E-4, 4=0.00613926088133169, 5=0.005212831536171285, 6=0.003432921131256455, 7=0.01125549516236269, 8=5.657312050185585E-4, 9=0.0072923918878326, 10=0.021121216691040865, 11=9.430464673228841E-4, 12=0.0, 13=0.0014592871645832315}
71 --> {1=0.003647811462521633, 2=0.006303569411008444, 3=0.006390659485309041, 4=0.006856294590993417, 5=0.0025522757849829555, 6=0.0038070507615936013, 7=0.0023883046112012597, 8=0.004091730280810953, 9=0.004530238968516898, 10=0.007090591655322267, 11=0.0038252229223493454, 12=2.139225263268721E-4, 13=0.0011489423913513936}
72 --> {1=0.0011066101952171602, 2=0.0030967496995051255, 3=0.00383470365665055, 4=0.0067881160129018925, 5=0.0071914968044763435, 6=0.009317753516532998, 7=0.0042707571537878046, 8=0.002045732062792669, 9=0.001970647704883071, 10=0.009254996058544985, 11=0.003018285764688614, 12=0.0, 13=0.0039009345133086677}
73 --> {1=0.0020057446467761936, 2=0.007637324565279927, 3=0.012297069602585349, 4=0.0045282742215363315, 5=0.0034282805805102884, 6=0.0051884631891998545, 7=0.005623187699658427, 8=0.003074433987136793, 9=0.007748607694916953, 10=0.012334505961483777, 11=0.0039613145821984766, 12=2.1103255238619532E-4, 13=0.007285836763899592}
74 --> {1=0.004894442955428478, 2=0.006728705441537438, 3=0.004149864690796174, 4=0.00826341900192795, 5=6.748611261064521E-4, 6=0.0019905892830634378, 7=0.009964261832950365, 8=0.001292005777569953, 9=0.02029129632638205, 10=0.012660520774593436, 11=0.003501866236066357, 12=1.7891702201883848E-4, 13=0.0016545561237552627}
75 --> {1=0.006522701073426895, 2=0.012302482524782811, 3=0.016243163882429197, 4=0.006339752911605178, 5=0.004449913150286981, 6=0.004710564792077157, 7=0.004704300429217079, 8=0.00819197026529325, 9=0.00594093367554936, 10=0.009693126309018089, 11=0.008518684202269108, 12=0.003920386291498208, 13=0.004737727875766069}
76 --> {1=0.025660150949692956, 2=0.031406011603642994, 3=0.026357044323641842, 4=0.009698007383593733, 5=0.01346805783211009, 6=0.0042353040063740615, 7=0.014835778476429293, 8=0.004207749617319151, 9=0.016269059566845833, 10=0.03868049082884745, 11=0.017100190388506745, 12=0.0218716287841479, 13=0.01127434318517458}
77 --> {1=0.0, 2=0.01014117825925449, 3=0.008510838251174775, 4=0.02783392504338143, 5=0.03198663735126146, 6=0.008764455191212788, 7=0.031672230408060296, 8=0.005434359562447392, 9=0.020617504747297573, 10=0.07740781297673616, 11=0.003287532906108229, 12=0.0, 13=0.009621768684970168}
78 --> {1=0.008313577820427423, 2=0.018821900183418498, 3=0.011990738716427165, 4=0.002083519926287387, 5=0.0, 6=0.0010245428599627107, 7=0.007184812254905822, 8=0.0011519209597548475, 9=0.01101332851330489, 10=0.014819235665968373, 11=0.005107581173741664, 12=0.005194511836235126, 13=0.004414321710749643}
79 --> {1=0.0043639466615042425, 2=0.014867381854572252, 3=0.015871557679915063, 4=0.006498593052073277, 5=0.010602833076546074, 6=0.004181714992490865, 7=0.010968536026939838, 8=8.986373157222527E-4, 9=0.01622942320445014, 10=0.02380546170617669, 11=0.00238846900206323, 12=0.0, 13=0.008978677471908413}
80 --> {1=0.01869107358355023, 2=0.01386429906599289, 3=0.010631200473929242, 4=0.007829585473168083, 5=0.009514559075358283, 6=0.0019432904806293355, 7=0.006119064071485491, 8=9.542590898241687E-4, 9=0.0066758022498444895, 10=0.015749962701499073, 11=0.0068447001035908915, 12=0.006812474539324756, 13=0.0010953733315210775}
81 --> {1=0.006924835865372328, 2=0.011542763034679748, 3=0.023607582509303518, 4=0.010941217596331695, 5=0.0070375695809166946, 6=0.00470203955026128, 7=0.017265797567229096, 8=0.0, 9=0.024430043948897036, 10=0.018596996022652742, 11=0.002511543187925633, 12=0.0, 13=0.0025615456769288603}
82 --> {1=0.007591027478190453, 2=0.007999483152677319, 3=0.009525944460375033, 4=0.010010883076477727, 5=0.014295198605807458, 6=0.003381562253227409, 7=0.006558902167163918, 8=4.933034277904601E-4, 9=0.00922326563061514, 10=0.024000046950819174, 11=0.007866211790499273, 12=0.0035217029398204244, 13=0.002797299854551417}
83 --> {1=0.011071149293631207, 2=0.01570992497511591, 3=0.015176926408786285, 4=0.014041635079769516, 5=0.006853194653227807, 6=0.0035787753122722326, 7=0.01127649034264681, 8=0.0019687119096798997, 9=0.0173501445560785, 10=0.022451581362633116, 11=0.009013565974745038, 12=0.009461778680888745, 13=0.0018952051889910898}
84 --> {1=0.0020673081300038617, 2=0.011768267876162709, 3=0.007940739410707059, 4=0.00983671068024003, 5=0.0060709672542853515, 6=0.003181411502437719, 7=0.007161332668820425, 8=3.881685401748137E-4, 9=0.0070244961200897, 10=0.01657755521500929, 11=0.0025495802015968573, 12=6.104870265457793E-4, 13=0.003085386461358689}
85 --> {1=6.586186192865524E-4, 2=0.0018320298255119533, 3=0.00175267633531089, 4=0.005730611413566685, 5=0.002992956399023982, 6=0.006278049201067094, 7=0.0060145933423392545, 8=3.4636604388891336E-4, 9=0.009276228471404144, 10=0.008426549125659053, 11=0.0021714405431433378, 12=2.0082522879665544E-4, 13=0.0042975495778601654}
86 --> {1=0.009593668123564771, 2=0.011731351912336995, 3=0.005611425467910796, 4=0.0075289766833897655, 5=0.0062233108322263826, 6=0.003255220253055151, 7=0.00746947685795519, 8=0.0031752244994407036, 9=0.009307551654716112, 10=0.008025297903540224, 11=0.002966217401786836, 12=1.7263923177256345E-4, 13=0.00918071468163227}
